"Statistic","Nace.Rev.2.Activity","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Wages and Salaries - Manual Employees","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Other Employees","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual and Other Employees","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Labour only subcontractors","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
