"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Donegal","Industry (B to E)",30591,30585,30458,31683,32255,32911,33007,34242,35325,40027,38787,39281,40562,43380
"Mean Annual Earnings","Co. Donegal","Financial, insurance and real estate activities (K,L)",36663,35692,35948,36144,37149,36118,36533,36997,39606,43536,44464,44673,46963,51265
"Mean Annual Earnings","Co. Donegal","Arts, entertainment, recreation and other service activities (R,S)",19030,18803,18633,18167,18405,18439,18264,18544,19977,23036,24634,22083,23243,25615
"Mean Annual Earnings","Co. Dublin","All NACE economic sectors",44243,44197,44498,45041,46026,46976,48575,50561,52429,57366,59548,60804,63048,65822
"Mean Annual Earnings","Co. Dublin","Construction (F)",42616,41857,41946,41579,40341,40788,41919,43914,46131,50141,51841,50900,52769,56074
"Mean Annual Earnings","Co. Dublin","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",31579,31532,31765,32358,33365,35255,36348,37765,39363,42111,43850,44403,45768,47272
"Mean Annual Earnings","Co. Dublin","Transportation and storage (H)",45087,44930,45436,45389,45780,46095,46524,48624,49906,47931,48307,53479,53854,56066
"Mean Annual Earnings","Co. Dublin","Accommodation and food service activities (I)",21967,21765,21790,21703,22197,23111,23836,24593,25237,28939,29053,29481,30123,31026
"Mean Annual Earnings","Co. Dublin","Information and communication (J)",62632,63565,64829,67290,70103,71059,75700,79849,81174,87953,98719,100929,105412,117301
"Mean Annual Earnings","Co. Dublin","Professional, scientific and technical activities (M)",51389,51211,52758,54478,56451,56827,58510,61179,64465,65631,69426,70796,73197,77441
"Mean Annual Earnings","Co. Dublin","Administrative and support service activities (N)",31395,32037,32059,33323,34798,36651,38904,41111,43667,46453,48651,52128,54207,54814
"Mean Annual Earnings","Co. Dublin","Public administration and defence; compulsory social security (O)",51802,51593,51942,51549,52330,51984,54051,54602,55576,56230,57782,61103,63465,65818
"Mean Annual Earnings","Co. Dublin","Education (P)",49371,48973,48463,47346,47568,46159,47308,48816,49879,51496,52366,54290,55795,58092
"Mean Annual Earnings","Co. Dublin","Human health and social work activities (Q)",41543,41207,40846,40682,40710,40685,41693,42884,45021,47420,47708,49837,53532,55538
"Mean Annual Earnings","Co. Dublin","Industry (B to E)",51213,52323,52009,52626,53541,55134,56319,58575,60827,64524,66135,67809,69590,71942
"Mean Annual Earnings","Co. Dublin","Financial, insurance and real estate activities (K,L)",62874,62482,63639,65309,66541,66349,68728,71827,74626,77200,80671,85388,87067,90367
"Mean Annual Earnings","Co. Dublin","Arts, entertainment, recreation and other service activities (R,S)",30601,30502,30091,30605,30927,31663,32370,32806,33343,41162,42152,39627,40364,43208
"Mean Annual Earnings","Co. Galway","All NACE economic sectors",37499,37407,37639,37837,39056,39042,39965,41376,42905,46842,47618,48765,50739,53497
