"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Wexford","Industry (B to E)",37262,37502,37574,38456,38397,39468,39717,41491,41833,44307,46422,46910,49432,51767
"Mean Annual Earnings","Co. Wexford","Financial, insurance and real estate activities (K,L)",40177,43250,42594,44335,44784,44571,45266,46080,46254,48084,53209,57348,58166,61564
"Mean Annual Earnings","Co. Wexford","Arts, entertainment, recreation and other service activities (R,S)",24094,22934,23410,23549,22636,22783,23531,24206,24779,31834,31201,28757,29015,30796
"Mean Annual Earnings","Ireland","All NACE economic sectors",39594,39487,39682,40078,40799,41250,42330,43830,45375,50076,51068,52053,53995,56356
"Mean Annual Earnings","Ireland","Construction (F)",37265,36661,37147,37544,37142,37546,38384,39851,41953,46904,47504,46252,48357,51065
"Mean Annual Earnings","Ireland","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",28418,28669,28848,29549,30308,31388,32297,33324,35016,38311,39167,39585,40945,42454
"Mean Annual Earnings","Ireland","Transportation and storage (H)",40422,40139,40236,40318,40603,40999,41240,42979,44513,44339,44621,47836,48105,50909
"Mean Annual Earnings","Ireland","Accommodation and food service activities (I)",19859,19613,19553,19614,20080,20638,21297,21865,22560,27235,26872,26276,26562,27639
"Mean Annual Earnings","Ireland","Information and communication (J)",56603,57343,58680,60761,63353,64372,67483,70265,71832,77003,85336,89173,94366,102445
"Mean Annual Earnings","Ireland","Professional, scientific and technical activities (M)",44871,44708,45406,46549,48041,49633,50766,52291,54718,57267,59868,61836,64694,67848
"Mean Annual Earnings","Ireland","Administrative and support service activities (N)",29584,30259,30288,31267,32353,33486,34981,36580,39061,41562,42913,45219,47054,48931
"Mean Annual Earnings","Ireland","Public administration and defence; compulsory social security (O)",48227,47822,48165,48294,48384,48299,50044,50815,51867,52874,54168,57283,60045,62620
"Mean Annual Earnings","Ireland","Education (P)",49119,48978,48694,47484,47817,46769,47976,49324,50213,51644,52028,54572,56210,58056
"Mean Annual Earnings","Ireland","Human health and social work activities (Q)",37604,37215,36967,36776,37154,37060,37807,38811,40339,42881,42915,45042,47918,50438
"Mean Annual Earnings","Ireland","Industry (B to E)",45221,45668,45859,46984,47618,48239,49064,50909,52203,55955,57299,58663,59839,62791
"Mean Annual Earnings","Ireland","Financial, insurance and real estate activities (K,L)",54748,54581,55399,56323,57041,57366,58875,61019,63251,66217,69000,72528,74319,77313
"Mean Annual Earnings","Ireland","Arts, entertainment, recreation and other service activities (R,S)",26532,26107,25981,26314,26588,26621,27176,27675,28515,35496,35915,32990,33755,35904
"Median Annual Earnings","Co. Clare","All NACE economic sectors",32770,32739,32737,33320,33705,33569,34182,35238,36203,39692,40299,40654,41942,44081
"Median Annual Earnings","Co. Clare","Construction (F)",32268,31209,31490,33670,33358,33451,33940,35526,36127,40795,40065,39000,40813,42911
"Median Annual Earnings","Co. Clare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",20984,20904,21166,22065,22568,23788,24146,24310,25810,28776,28457,28613,29973,30523
"Median Annual Earnings","Co. Clare","Transportation and storage (H)",40363,39229,37714,39268,38434,39254,38349,38850,39898,40752,41850,43079,40847,45253
"Median Annual Earnings","Co. Clare","Accommodation and food service activities (I)",18341,17760,17542,17500,18200,18965,19559,20426,21153,27221,24499,24571,24735,26596
"Median Annual Earnings","Co. Clare","Information and communication (J)",39402,39149,42649,42928,43713,43961,44077,46182,48368,48667,51550,56145,58540,61313
"Median Annual Earnings","Co. Clare","Professional, scientific and technical activities (M)",33480,33500,33032,32154,33849,34557,33999,35250,37425,40224,40657,42181,45177,49282
"Median Annual Earnings","Co. Clare","Administrative and support service activities (N)",24953,26222,26560,28169,28235,29140,29727,31096,32850,32652,34930,35328,36870,39367
"Median Annual Earnings","Co. Clare","Public administration and defence; compulsory social security (O)",42416,42440,43302,42742,42818,42518,43777,44269,44858,45771,47056,49127,51564,55159
"Median Annual Earnings","Co. Clare","Education (P)",47941,48154,48993,47553,48234,48338,49878,50829,51121,51865,51506,55371,57227,58118
"Median Annual Earnings","Co. Clare","Human health and social work activities (Q)",30870,30372,30898,30880,31096,30934,31634,32392,32732,35882,35861,37544,39410,41655
"Median Annual Earnings","Co. Clare","Industry (B to E)",38661,38890,38351,39932,40407,40755,41960,42708,44108,43846,46679,47562,49725,51484
"Median Annual Earnings","Co. Clare","Financial, insurance and real estate activities (K,L)",32856,34942,34737,35919,35888,35716,35988,37754,39449,40305,41982,44087,45770,47845
"Median Annual Earnings","Co. Clare","Arts, entertainment, recreation and other service activities (R,S)",19999,20215,19311,18206,17447,17688,17920,18876,19814,25331,26085,23457,24048,26672
"Median Annual Earnings","Co. Cork","All NACE economic sectors",33021,32986,33208,33663,34050,34266,35000,36492,37569,41442,42000,42763,44348,46416
"Median Annual Earnings","Co. Cork","Construction (F)",33902,33535,33767,33962,33922,34425,34277,36423,37440,41846,42349,41301,42934,45005
"Median Annual Earnings","Co. Cork","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",23438,24564,24923,25375,25889,26687,27300,27005,29329,31869,32436,32926,34165,35633
"Median Annual Earnings","Co. Cork","Transportation and storage (H)",34450,33817,33955,33962,34008,34940,34195,36142,37540,39207,40000,40518,41142,43570
"Median Annual Earnings","Co. Cork","Accommodation and food service activities (I)",17500,17010,17153,17206,17504,18061,18473,19026,19880,24143,23048,22722,23363,24866
"Median Annual Earnings","Co. Cork","Information and communication (J)",42969,43245,45203,46784,46164,45042,45222,46122,48439,49867,55768,61494,67085,70685
"Median Annual Earnings","Co. Cork","Professional, scientific and technical activities (M)",31841,31042,31264,32333,33203,36430,35894,38166,40431,42395,44540,46808,49354,52953
"Median Annual Earnings","Co. Cork","Administrative and support service activities (N)",25431,25576,25170,25556,26038,26385,27060,28150,29373,30629,32582,34724,35463,36813
"Median Annual Earnings","Co. Cork","Public administration and defence; compulsory social security (O)",45382,44939,45524,45247,44937,44241,45173,46435,47328,48894,49565,52242,54864,56725
"Median Annual Earnings","Co. Cork","Education (P)",47476,47522,47516,46516,46715,45376,46307,47204,47198,47714,47619,50825,52157,53500
"Median Annual Earnings","Co. Cork","Human health and social work activities (Q)",33144,32582,32732,32488,32780,32679,33384,34212,34898,37099,37593,39329,41457,43986
"Median Annual Earnings","Co. Cork","Industry (B to E)",42862,44040,44672,45718,45744,46800,47606,49175,50850,53560,56260,58247,60487,63027
"Median Annual Earnings","Co. Cork","Financial, insurance and real estate activities (K,L)",37705,37500,37627,38135,38369,38035,38778,40286,41312,44636,45388,47860,48939,50963
"Median Annual Earnings","Co. Cork","Arts, entertainment, recreation and other service activities (R,S)",19075,18419,18720,18656,19244,18920,19131,20144,20894,26782,26500,23349,23935,25858
"Median Annual Earnings","Co. Cavan","All NACE economic sectors",30119,30000,30062,30290,30629,30874,31109,31999,33236,37001,37497,37224,38514,40596
"Median Annual Earnings","Co. Cavan","Construction (F)",29104,29310,30848,31736,31442,31494,32689,33642,34213,39227,39787,39347,40720,42534
"Median Annual Earnings","Co. Cavan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",20797,20743,20685,20986,21630,22821,22764,23128,24218,26258,26636,26747,28123,29161
"Median Annual Earnings","Co. Cavan","Transportation and storage (H)",31924,31249,30148,27849,27684,28210,27455,28600,29951,31800,32556,34611,35584,37157
"Median Annual Earnings","Co. Cavan","Accommodation and food service activities (I)",16452,16041,16238,16418,16982,16786,17517,18302,18580,22762,22127,20966,22035,23480
"Median Annual Earnings","Co. Cavan","Information and communication (J)",41759,42095,43734,40059,41885,44288,45470,45075,47977,50211,53324,58095,56702,63566
"Median Annual Earnings","Co. Cavan","Professional, scientific and technical activities (M)",27693,27378,27321,27339,28099,28631,30142,30788,32495,33374,36000,36463,39597,41250
"Median Annual Earnings","Co. Cavan","Administrative and support service activities (N)",19888,21936,23588,23926,23066,23227,24876,25838,27205,29710,30172,32000,32418,35466
"Median Annual Earnings","Co. Cavan","Public administration and defence; compulsory social security (O)",42597,42742,43008,43554,42742,41791,42843,44188,44870,45608,47003,50029,53187,56063
"Median Annual Earnings","Co. Cavan","Education (P)",48015,47869,48787,47475,47955,47012,48490,49630,50189,50879,50678,53325,55142,53720
"Median Annual Earnings","Co. Cavan","Human health and social work activities (Q)",33260,32774,32764,33154,33374,33058,33693,34452,36398,37548,37936,38983,41202,42851
"Median Annual Earnings","Co. Cavan","Industry (B to E)",30262,30720,30957,31306,31732,32363,32625,33659,35100,36690,37550,38339,39249,42424
"Median Annual Earnings","Co. Cavan","Financial, insurance and real estate activities (K,L)",35649,32860,34426,33120,36394,38660,36753,39452,40789,43465,45683,46777,50035,52500
"Median Annual Earnings","Co. Cavan","Arts, entertainment, recreation and other service activities (R,S)",17646,19861,17691,17348,16877,16230,17519,17750,18720,20882,21941,20733,20557,24646
"Median Annual Earnings","Co. Carlow","All NACE economic sectors",30528,30161,30627,30599,30690,30806,31466,32322,33283,36636,37552,37802,38556,40363
"Median Annual Earnings","Co. Carlow","Construction (F)",31724,31068,33180,32017,32755,33107,33000,34162,35695,37925,39870,40265,42971,43325
"Median Annual Earnings","Co. Carlow","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",21933,21484,21609,22001,22002,22668,23670,23630,24948,27221,28271,28113,28764,29986
"Median Annual Earnings","Co. Carlow","Transportation and storage (H)",30242,29873,31035,28600,28675,28912,29814,30481,32830,34821,35437,36420,36489,38915
"Median Annual Earnings","Co. Carlow","Accommodation and food service activities (I)",17783,17340,17392,17166,17650,17034,17524,17732,18222,20277,20202,21286,21431,23630
"Median Annual Earnings","Co. Carlow","Information and communication (J)",44224,42608,42169,44196,44929,44348,44586,45718,49190,51064,52856,58926,61245,66959
"Median Annual Earnings","Co. Carlow","Professional, scientific and technical activities (M)",29538,28333,28500,30300,30696,32595,32922,33653,33887,35298,39500,40299,42565,44100
"Median Annual Earnings","Co. Carlow","Administrative and support service activities (N)",24906,25705,25920,26368,27032,28175,29916,30048,32088,33333,35587,34814,35773,38209
"Median Annual Earnings","Co. Carlow","Public administration and defence; compulsory social security (O)",43757,43649,44276,44544,44562,43459,45238,45594,46316,48213,49342,51375,53998,56974
"Median Annual Earnings","Co. Carlow","Education (P)",49006,48802,49376,48272,47398,46700,47038,48000,48990,48445,48331,51180,53005,55074
"Median Annual Earnings","Co. Carlow","Human health and social work activities (Q)",29838,30445,30606,29373,30713,29436,30440,30440,32062,34394,33743,35846,37032,38870
"Median Annual Earnings","Co. Carlow","Industry (B to E)",32313,32619,33153,33467,32638,32651,33352,34410,35586,39687,39660,39682,40283,42320
"Median Annual Earnings","Co. Carlow","Financial, insurance and real estate activities (K,L)",36510,35646,35953,36186,36985,36357,36856,38190,41018,40486,43000,45436,45519,48268
"Median Annual Earnings","Co. Carlow","Arts, entertainment, recreation and other service activities (R,S)",21775,21077,18688,20071,20740,19887,20470,21939,22634,28747,25985,24223,24199,24961
"Median Annual Earnings","Co. Donegal","All NACE economic sectors",27311,27125,26992,27415,27748,27402,27808,28645,29714,34895,34359,33523,35010,36967
"Median Annual Earnings","Co. Donegal","Construction (F)",24588,23622,23521,24359,25046,24724,25147,26364,28326,34822,33615,31460,32760,35000
"Median Annual Earnings","Co. Donegal","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",18007,18141,18076,18280,18304,19002,19238,19797,20504,22817,23309,23218,24566,26325
"Median Annual Earnings","Co. Donegal","Transportation and storage (H)",26892,25473,25571,25050,24876,24844,24503,25240,26520,30452,29645,29407,31822,33828
"Median Annual Earnings","Co. Donegal","Accommodation and food service activities (I)",13468,13626,13530,13874,14370,14635,15490,15844,15737,22092,19309,19782,19552,20663
"Median Annual Earnings","Co. Donegal","Information and communication (J)",36684,35864,35478,36002,35870,34821,36248,37275,38672,40071,40057,43208,46219,49369
"Median Annual Earnings","Co. Donegal","Professional, scientific and technical activities (M)",24000,23325,23514,24774,25474,24100,25632,27592,29254,31060,32748,33613,34809,37881
"Median Annual Earnings","Co. Donegal","Administrative and support service activities (N)",17431,16572,16586,17826,19292,18820,20056,21400,22361,30422,24159,25959,27300,30278
"Median Annual Earnings","Co. Donegal","Public administration and defence; compulsory social security (O)",41494,41122,41266,41258,40702,41005,41629,41773,43667,44971,45823,48309,49693,51423
"Median Annual Earnings","Co. Donegal","Education (P)",49647,50524,50615,49395,49444,48495,50052,49870,50117,50605,50982,53337,55117,55582
"Median Annual Earnings","Co. Donegal","Human health and social work activities (Q)",32803,32804,33270,32959,33930,32940,33430,34021,34454,35907,36557,37874,40612,43273
"Median Annual Earnings","Co. Donegal","Industry (B to E)",25585,25697,25700,26258,27028,27965,27764,28705,29521,31923,32247,33080,34658,36333
"Median Annual Earnings","Co. Donegal","Financial, insurance and real estate activities (K,L)",30490,29730,30370,30730,31185,31782,32297,31389,33384,36947,37897,36988,39529,41915
"Median Annual Earnings","Co. Donegal","Arts, entertainment, recreation and other service activities (R,S)",15482,15429,15600,14376,15542,15280,15036,15075,16429,18797,19091,18574,19258,21194
"Median Annual Earnings","Co. Dublin","All NACE economic sectors",35825,35550,35704,35909,36202,36891,37946,39198,40552,44327,45386,46136,47873,49224
"Median Annual Earnings","Co. Dublin","Construction (F)",36742,35903,36525,36583,35582,35843,36770,38847,40680,42124,44592,44516,46133,48566
"Median Annual Earnings","Co. Dublin","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",25013,24960,25048,25475,26063,27232,27776,28847,29919,31340,32844,33400,34645,35599
"Median Annual Earnings","Co. Dublin","Transportation and storage (H)",40515,39851,39672,39958,39655,40338,40162,41778,42305,42242,42694,45522,45595,47042
"Median Annual Earnings","Co. Dublin","Accommodation and food service activities (I)",19556,19213,19119,19146,19651,20606,21292,22111,22846,25554,25811,27197,27804,28913
"Median Annual Earnings","Co. Dublin","Information and communication (J)",51970,52818,54178,56004,57965,58848,62104,65859,67210,72632,78299,82103,85406,93922
"Median Annual Earnings","Co. Dublin","Professional, scientific and technical activities (M)",38358,38188,39507,40742,41994,42831,44666,46250,49484,49519,52339,52660,55043,58846
"Median Annual Earnings","Co. Dublin","Administrative and support service activities (N)",25119,25240,25242,25712,26481,27564,28698,30196,31954,33223,34187,36835,38133,38888
"Median Annual Earnings","Co. Dublin","Public administration and defence; compulsory social security (O)",47089,47215,47875,47798,48478,47215,48591,48808,49753,50395,51866,54878,56539,58423
"Median Annual Earnings","Co. Dublin","Education (P)",45608,45270,45152,44022,44297,42771,43671,44058,44693,46220,47065,48712,50000,51637
"Median Annual Earnings","Co. Dublin","Human health and social work activities (Q)",37203,36580,36372,36127,35786,35929,36864,37766,38871,40692,41106,42858,45813,47164
"Median Annual Earnings","Co. Dublin","Industry (B to E)",41086,41520,41709,42042,42133,43454,44339,45950,47945,51398,53138,54191,56400,58175
"Median Annual Earnings","Co. Dublin","Financial, insurance and real estate activities (K,L)",46545,46311,47262,48490,48678,49212,51100,53699,56266,58610,61339,65000,66492,69042
"Median Annual Earnings","Co. Dublin","Arts, entertainment, recreation and other service activities (R,S)",24206,23764,23374,23382,23532,24411,24816,25465,25992,31888,32414,30160,31321,32868
"Median Annual Earnings","Co. Galway","All NACE economic sectors",32330,31816,32227,32272,33227,33234,34090,35262,36400,39769,40365,40973,42279,43995
"Median Annual Earnings","Co. Galway","Construction (F)",31437,31025,30062,31120,30887,31541,32850,34766,36354,39754,40660,39942,41741,43962
"Median Annual Earnings","Co. Galway","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",22077,22541,22631,23274,24669,25395,25634,26479,27890,29720,30626,31713,32372,33557
"Median Annual Earnings","Co. Galway","Transportation and storage (H)",32001,31564,30416,30941,31140,31932,31200,32181,34376,37590,37123,36796,37450,39555
"Median Annual Earnings","Co. Galway","Accommodation and food service activities (I)",18943,18538,18380,18474,18872,19532,20170,20635,21570,25630,24997,25528,25841,27265
"Median Annual Earnings","Co. Galway","Information and communication (J)",42126,42684,46175,47700,48354,48150,46790,46954,50335,53401,55993,60233,65284,70556
"Median Annual Earnings","Co. Galway","Professional, scientific and technical activities (M)",33429,32500,33000,33150,34000,34903,36000,37346,38428,40451,42383,43306,44774,47835
"Median Annual Earnings","Co. Galway","Administrative and support service activities (N)",23051,24042,23504,24690,26282,27146,29244,28595,29663,30483,32448,32339,33942,35389
"Median Annual Earnings","Co. Galway","Public administration and defence; compulsory social security (O)",41145,41525,41118,43273,43436,42151,42884,44196,45034,46544,47873,50124,53018,54987
"Median Annual Earnings","Co. Galway","Education (P)",48815,48862,49088,47960,48637,48334,49916,50501,51058,52196,51732,55419,57155,59410
"Median Annual Earnings","Co. Galway","Human health and social work activities (Q)",35307,35084,34272,34000,34452,34321,34682,35387,36637,39257,38987,41144,43652,45493
"Median Annual Earnings","Co. Galway","Industry (B to E)",34268,33015,34519,34658,35606,36418,36945,38387,39112,39640,41395,42949,43671,45154
"Median Annual Earnings","Co. Galway","Financial, insurance and real estate activities (K,L)",36016,36728,35732,35500,35918,34804,35245,37384,37524,39466,42218,42903,45074,47978
"Median Annual Earnings","Co. Galway","Arts, entertainment, recreation and other service activities (R,S)",20162,19724,18855,19229,19892,19881,20067,20785,22204,30436,29646,24941,25545,26795
"Median Annual Earnings","Co. Kildare","All NACE economic sectors",35733,35296,35460,35504,36052,36301,37314,38447,39661,42724,43971,45173,46819,48431
"Median Annual Earnings","Co. Kildare","Construction (F)",36400,35981,36603,36929,36087,36333,37007,38519,40412,42264,45281,44878,46690,49167
"Median Annual Earnings","Co. Kildare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",26471,25873,25873,26494,27211,27891,28509,29708,30348,31562,33245,33798,34938,36159
"Median Annual Earnings","Co. Kildare","Transportation and storage (H)",37265,36432,36566,36602,36101,36904,37674,38278,40053,40918,41411,42770,43588,45175
"Median Annual Earnings","Co. Kildare","Accommodation and food service activities (I)",18863,18304,18154,17989,18550,18951,19354,20116,20992,25571,23417,24255,24502,25757
"Median Annual Earnings","Co. Kildare","Information and communication (J)",53521,53908,54082,55678,57661,59193,60719,60994,64932,67364,73057,78988,81069,85763
"Median Annual Earnings","Co. Kildare","Professional, scientific and technical activities (M)",35967,35226,35484,37094,37304,38668,39700,41060,43386,45079,47358,50983,54075,56327
"Median Annual Earnings","Co. Kildare","Administrative and support service activities (N)",25685,26246,25714,26166,26596,27623,28864,30000,31390,32894,33864,36747,38046,39805
"Median Annual Earnings","Co. Kildare","Public administration and defence; compulsory social security (O)",47598,47555,48354,47950,48078,47893,48668,48822,49857,51370,52353,56051,59740,62617
"Median Annual Earnings","Co. Kildare","Education (P)",48009,47549,47382,46166,46538,45808,46975,47939,48566,49229,49640,52542,53871,56440
"Median Annual Earnings","Co. Kildare","Human health and social work activities (Q)",34677,34580,34448,33920,34380,34227,34985,36090,37010,39409,40025,41999,44295,45893
"Median Annual Earnings","Co. Kildare","Industry (B to E)",40447,40333,41182,42300,42399,44762,45376,46358,48024,51623,53592,54940,56625,58594
"Median Annual Earnings","Co. Kildare","Financial, insurance and real estate activities (K,L)",42280,42720,43525,43970,44663,46052,47357,50078,52178,53691,55792,59968,61915,64025
"Median Annual Earnings","Co. Kildare","Arts, entertainment, recreation and other service activities (R,S)",23021,22913,22620,22851,23722,23690,23741,25332,26176,31292,31978,29102,30819,31782
"Median Annual Earnings","Co. Kilkenny","All NACE economic sectors",32016,31837,32008,32333,32371,32224,33158,34638,35611,39212,40083,40015,41392,43132
"Median Annual Earnings","Co. Kilkenny","Construction (F)",32943,32761,34034,34366,33923,34786,34938,35522,37596,40559,42562,41195,43107,45433
"Median Annual Earnings","Co. Kilkenny","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",22125,22109,22336,23437,23850,23810,24375,25164,26198,28732,29311,28724,29826,30852
"Median Annual Earnings","Co. Kilkenny","Transportation and storage (H)",29662,28800,29308,30162,30453,31175,31084,32500,33373,34685,35895,36603,38043,39548
"Median Annual Earnings","Co. Kilkenny","Accommodation and food service activities (I)",18108,17780,17680,17814,17363,18350,18825,19550,20227,23099,23441,23451,24324,24949
"Median Annual Earnings","Co. Kilkenny","Information and communication (J)",42371,40892,42760,41000,42576,41854,44640,45010,44498,44000,46232,55486,59749,61062
"Median Annual Earnings","Co. Kilkenny","Professional, scientific and technical activities (M)",28288,28987,29602,31774,32425,32400,32778,34176,36769,38678,40494,44502,48453,49904
"Median Annual Earnings","Co. Kilkenny","Administrative and support service activities (N)",22104,21598,22186,23426,23726,22614,22940,25427,26982,28951,29576,28983,31708,34065
"Median Annual Earnings","Co. Kilkenny","Public administration and defence; compulsory social security (O)",43554,43406,43696,43754,42742,42781,43580,43942,45022,45965,47933,50267,52983,54057
"Median Annual Earnings","Co. Kilkenny","Education (P)",47358,47788,48356,46709,47389,46369,47906,48220,47958,48531,49261,52132,53927,55185
"Median Annual Earnings","Co. Kilkenny","Human health and social work activities (Q)",33205,33442,33372,33402,33379,33264,34410,35623,36058,38460,38431,40486,42179,45059
"Median Annual Earnings","Co. Kilkenny","Industry (B to E)",39397,39375,39485,38798,38500,38606,40036,41370,42388,46414,46812,46347,47906,51155
"Median Annual Earnings","Co. Kilkenny","Financial, insurance and real estate activities (K,L)",35896,35328,35249,35801,35327,36288,37852,40219,41077,41482,44400,46818,44598,46970
"Median Annual Earnings","Co. Kilkenny","Arts, entertainment, recreation and other service activities (R,S)",19747,19606,20722,19540,19575,18644,20122,20637,21681,26841,26892,24215,24850,27481
"Median Annual Earnings","Co. Kerry","All NACE economic sectors",29244,29069,29193,29572,30072,29517,30079,31004,31897,36569,37053,36305,37151,38906
"Median Annual Earnings","Co. Kerry","Construction (F)",29948,29794,30390,31334,31590,31746,31246,33391,34496,38629,39836,37407,39250,41120
"Median Annual Earnings","Co. Kerry","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",21501,21528,21610,21829,22507,22756,22060,22506,23266,25233,26980,27339,28410,29759
"Median Annual Earnings","Co. Kerry","Transportation and storage (H)",32595,32484,33703,32963,32827,31862,32928,32264,33256,37007,36676,36664,35589,38718
"Median Annual Earnings","Co. Kerry","Accommodation and food service activities (I)",18213,18069,17702,18022,18338,19118,19476,20162,20916,26113,24238,24561,25040,26213
"Median Annual Earnings","Co. Kerry","Information and communication (J)",39422,38764,42930,44830,44276,43692,44277,44029,45300,47019,48415,52400,56295,57702
"Median Annual Earnings","Co. Kerry","Professional, scientific and technical activities (M)",29801,30000,29315,30342,32000,31910,32500,33003,39648,42130,43131,44099,46734,47070
"Median Annual Earnings","Co. Kerry","Administrative and support service activities (N)",18028,18227,17845,19939,20446,20082,21516,23198,24337,26549,26830,27999,29564,31889
"Median Annual Earnings","Co. Kerry","Public administration and defence; compulsory social security (O)",41096,40323,40558,41721,40196,40889,41327,42076,42810,44702,45154,47620,50160,51848
"Median Annual Earnings","Co. Kerry","Education (P)",49254,49602,49600,48362,49951,48275,49861,50278,50142,50502,50154,52827,54224,55264
"Median Annual Earnings","Co. Kerry","Human health and social work activities (Q)",31186,30332,30175,30487,30555,29733,30550,31494,31809,34299,35120,37050,37854,40421
"Median Annual Earnings","Co. Kerry","Industry (B to E)",37881,38450,38842,40777,41323,40545,38032,39041,38868,41941,44928,45957,46397,49540
"Median Annual Earnings","Co. Kerry","Financial, insurance and real estate activities (K,L)",33907,34105,33789,34189,34684,31753,31879,33367,34725,35502,37085,38847,39627,41770
"Median Annual Earnings","Co. Kerry","Arts, entertainment, recreation and other service activities (R,S)",18252,17325,17475,17256,17542,17435,17808,17914,18591,22482,21083,20902,21615,23960
"Median Annual Earnings","Co. Longford","All NACE economic sectors",29178,29074,29540,29714,30097,29930,30218,31097,32392,34325,35626,36178,37611,38857
"Median Annual Earnings","Co. Longford","Construction (F)",28160,30359,31200,32672,32000,31680,32091,32867,34237,39334,40629,38031,40113,42422
"Median Annual Earnings","Co. Longford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",19727,19583,19710,20283,20572,20634,21222,22805,23815,24949,25929,26423,28118,29486
"Median Annual Earnings","Co. Longford","Transportation and storage (H)",27632,31541,28461,28438,28384,28390,29066,30882,33829,34370,35290,34090,36022,38292
"Median Annual Earnings","Co. Longford","Accommodation and food service activities (I)",15949,14813,14293,14528,15340,15000,15762,15612,17002,15672,18460,18616,19268,20882
"Median Annual Earnings","Co. Longford","Information and communication (J)",41067,41092,42996,46879,46982,42886,41240,46048,46176,49484,51546,54164,59189,60337
"Median Annual Earnings","Co. Longford","Professional, scientific and technical activities (M)",25309,25891,26628,28471,31214,32117,32162,33968,33695,36000,37597,39167,41381,43000
"Median Annual Earnings","Co. Longford","Administrative and support service activities (N)",18976,18966,21260,20365,21618,22613,24097,23584,25890,27087,28660,30595,32320,33661
"Median Annual Earnings","Co. Longford","Public administration and defence; compulsory social security (O)",40590,40680,41349,41726,41732,41536,41047,42366,44220,44612,45814,49008,51315,53513
"Median Annual Earnings","Co. Longford","Education (P)",45688,46232,46579,45438,47258,45576,46960,49070,48464,48231,48786,50365,51343,52234
"Median Annual Earnings","Co. Longford","Human health and social work activities (Q)",29903,30378,30086,29947,29904,31272,31141,32138,33395,34726,34723,37750,39145,41088
"Median Annual Earnings","Co. Longford","Industry (B to E)",31067,30362,30346,31364,31893,31730,32492,32774,33937,35522,36249,38191,39698,40650
"Median Annual Earnings","Co. Longford","Financial, insurance and real estate activities (K,L)",32914,32966,36726,34065,35586,34306,31784,33948,35904,38387,39951,42213,43811,45074
"Median Annual Earnings","Co. Longford","Arts, entertainment, recreation and other service activities (R,S)",18297,17822,17528,17250,14182,13672,15000,15944,17989,24364,21383,18646,17698,19853
"Median Annual Earnings","Co. Louth","All NACE economic sectors",31081,30274,30929,31200,31632,31610,32307,33153,34567,38121,38571,38682,40038,41449
"Median Annual Earnings","Co. Louth","Construction (F)",30594,29723,30801,31912,31465,31198,33319,34187,35943,38639,39277,39048,41302,43160
"Median Annual Earnings","Co. Louth","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",21611,21391,21230,22542,23406,24197,24604,25215,26231,28301,29110,28982,30192,31807
"Median Annual Earnings","Co. Louth","Transportation and storage (H)",38271,36949,36999,36503,36408,36631,35807,37180,38696,40110,40382,42595,42259,43992
"Median Annual Earnings","Co. Louth","Accommodation and food service activities (I)",16715,16158,16190,16227,16850,16812,16845,17392,17703,22308,21186,20255,19855,21950
"Median Annual Earnings","Co. Louth","Information and communication (J)",42774,41487,43041,41526,43643,40490,42936,45270,47209,48896,53000,58696,60161,63995
"Median Annual Earnings","Co. Louth","Professional, scientific and technical activities (M)",31042,30506,30500,28824,30006,30438,31529,31800,33509,36019,39117,40966,41715,45877
"Median Annual Earnings","Co. Louth","Administrative and support service activities (N)",23797,23287,23974,23599,24297,23771,24856,27127,27977,29343,30383,31200,32989,35234
"Median Annual Earnings","Co. Louth","Public administration and defence; compulsory social security (O)",43235,42879,43754,45002,43946,44108,44536,44490,46437,47507,48730,51482,53330,55292
"Median Annual Earnings","Co. Louth","Education (P)",47642,47514,48291,47272,47146,46143,47736,47474,47326,47817,48104,51482,52942,53541
"Median Annual Earnings","Co. Louth","Human health and social work activities (Q)",34136,31793,34047,33929,34258,33432,33564,34786,36043,39430,39232,40965,42857,43827
"Median Annual Earnings","Co. Louth","Industry (B to E)",34485,34356,34408,34659,34985,34942,35306,36358,37912,40546,40191,40393,42169,44134
"Median Annual Earnings","Co. Louth","Financial, insurance and real estate activities (K,L)",37969,36783,36374,35489,35048,36299,36363,37001,38958,41532,43651,43948,45715,49290
"Median Annual Earnings","Co. Louth","Arts, entertainment, recreation and other service activities (R,S)",18785,18304,18252,18200,18210,18530,19222,19931,20597,27204,27910,23568,24721,27330
"Median Annual Earnings","Co. Limerick","All NACE economic sectors",32174,32178,32373,32820,33253,32982,33666,34906,35874,39811,40307,40719,42445,44498
